               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.046993,            0.017608,                   0,             0.86106,             0.78445,             0.89282,             0.39962,            0.042382,            0.010056,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.042039,            0.017096,                   0,             0.73665,             0.77215,             0.81088,             0.37512,            0.043792,           0.0095479,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.048713,            0.015906,                   0,             0.58848,             0.83544,             0.73378,             0.29259,            0.036781,            0.009855,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.043456,            0.015469,                   0,             0.62655,             0.74333,             0.65332,             0.27209,            0.043896,           0.0095323,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.048037,            0.012822,                   0,             0.51525,             0.87342,              0.7057,              0.2774,            0.044072,           0.0090329,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.041657,            0.015725,                   0,             0.56803,             0.70886,             0.67276,             0.27382,            0.040902,            0.009244,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.046529,            0.014329,                   0,             0.73363,             0.81013,             0.82707,             0.37861,            0.038055,           0.0089906,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.044554,            0.011842,                   0,              0.6452,             0.82278,             0.80083,             0.34592,            0.043123,           0.0088209,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.041187,            0.012668,                   0,             0.84029,             0.86585,              0.9293,             0.49101,            0.033955,           0.0089995,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.036629,            0.014032,                   0,             0.61169,             0.74684,             0.74951,             0.28933,            0.041398,           0.0088584,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.045143,            0.012738,                   0,             0.78785,             0.75217,              0.8749,             0.46242,            0.033247,           0.0086301,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.038879,            0.011581,                   0,             0.70508,             0.78481,             0.83755,             0.35478,            0.035338,           0.0084464,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.040323,            0.014226,                   0,             0.84845,             0.92133,             0.93947,             0.47077,            0.034901,           0.0082798,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.037019,            0.014851,                   0,             0.54235,             0.75006,             0.60065,             0.24847,            0.040014,           0.0079645,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.043883,            0.010947,                   0,             0.95006,             0.96329,             0.98214,             0.57074,            0.028923,           0.0077976,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.036031,            0.012522,                   0,             0.78235,             0.94937,             0.93261,             0.50558,            0.036129,           0.0074927,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.037262,            0.011169,                   0,             0.96503,             0.96203,             0.98624,             0.51405,            0.031926,           0.0076745,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.035381,            0.012856,                   0,             0.72146,             0.88523,             0.86509,             0.37091,            0.035681,           0.0074822,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.042624,            0.011594,                   0,             0.97589,             0.96203,             0.98982,             0.60734,             0.02864,           0.0072761,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.037061,            0.011588,                   0,              0.7339,             0.88608,             0.84316,             0.43736,            0.033403,           0.0070807,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.03653,            0.011851,                   0,                   1,             0.98723,             0.99306,              0.6046,            0.027572,           0.0070839,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.034699,             0.01087,                   0,             0.97211,             0.98734,             0.99242,             0.57031,            0.030013,           0.0069127,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.036641,            0.011676,                   0,             0.98445,             0.98734,             0.99256,             0.55727,            0.026347,           0.0068992,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.032098,            0.012135,                   0,             0.99423,             0.98734,             0.99359,               0.575,            0.028866,           0.0068162,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.035726,            0.010529,                   0,              0.9962,             0.98734,             0.99332,             0.60289,            0.029464,           0.0067145,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.031204,           0.0098051,                   0,             0.99805,             0.98734,             0.99378,             0.58828,            0.027881,           0.0065279,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.032986,            0.011633,                   0,             0.99656,             0.98734,             0.99429,             0.62448,            0.025187,           0.0066056,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.030721,            0.010523,                   0,             0.99232,             0.98734,             0.99398,             0.61891,            0.027696,           0.0066392,                   0,            0.003664,            0.003664,            0.003664
                  66,              0.0347,            0.010807,                   0,             0.98881,             0.98734,             0.99463,             0.57038,            0.026567,           0.0065695,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.030304,           0.0090455,                   0,             0.98748,             0.99838,             0.99488,             0.61239,            0.028409,           0.0064338,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.033188,             0.01029,                   0,                   1,              0.9863,             0.99475,             0.62271,             0.02413,           0.0064791,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.030165,           0.0093022,                   0,             0.97641,             0.97468,             0.99438,             0.64631,            0.026522,           0.0063697,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.031838,             0.01077,                   0,             0.98568,             0.98734,             0.99463,             0.61088,            0.025437,           0.0064357,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.029674,           0.0098837,                   0,             0.98592,             0.98734,             0.99413,             0.57979,            0.027166,           0.0062733,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.033564,           0.0095254,                   0,             0.98748,             0.99829,             0.99475,             0.68634,            0.021187,           0.0062407,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.027445,           0.0090838,                   0,                   1,              0.9741,             0.99415,             0.60417,            0.026255,           0.0062377,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.027739,            0.012276,                   0,             0.98544,             0.98734,             0.99463,             0.65931,            0.022114,           0.0061423,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.02788,            0.010247,                   0,             0.99817,             0.98734,             0.99475,             0.66572,            0.024594,           0.0061037,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.029469,           0.0098521,                   0,             0.98747,             0.99764,             0.99488,             0.67886,            0.020769,           0.0059714,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.026265,            0.010083,                   0,             0.99724,             0.98734,             0.99488,              0.6896,            0.020902,           0.0059212,                   0,            0.002476,            0.002476,            0.002476
